,Date,Vander_Score,Buy,Sell
269,2015-09-27,-0.3612,0,1
270,2015-09-28,0.011044776119402983,0,1
271,2015-09-29,0.005457627118644067,0,1
272,2015-09-30,0.017628125,1,0
273,2015-10-01,0.09667317073170732,1,0
274,2015-10-02,-0.296,1,0
275,2015-10-03,0.765,1,0
276,2015-10-04,0.03273076923076923,1,0
277,2015-10-05,0.07516831683168318,1,0
278,2015-10-06,0.015560493827160488,1,0
279,2015-10-07,0.07192307692307692,0,1
280,2015-10-08,0.03106365546218488,0,1
281,2015-10-09,-0.296,1,0
282,2015-10-10,0.12521176470588236,1,0
283,2015-10-11,0.0,1,0
284,2015-10-12,0.0,0,1
285,2015-10-13,-0.03008653846153847,1,0
286,2015-10-14,-0.020410499770747364,0,1
287,2015-10-15,0.743,1,0
288,2015-10-16,0.0,0,1
289,2015-10-17,0.5859,0,1
290,2015-10-18,0.0,0,1
291,2015-10-19,0.01781538461538462,1,0
292,2015-10-20,-0.07298961538461539,1,0
293,2015-10-21,0.0,0,1
294,2015-10-22,0.0,1,0
295,2015-10-23,0.22629111747851005,1,0
296,2015-10-24,0.0,1,0
297,2015-10-25,0.011384148376331662,1,0
298,2015-10-26,-0.07480620437956205,0,1
299,2015-10-27,0.012499792731552228,0,1
300,2015-10-28,0.0363374169597499,1,0
301,2015-10-29,0.10797353862212943,1,0
302,2015-10-30,0.08107892156862746,0,1
303,2015-10-31,0.0,0,1
304,2015-11-01,0.0,0,1
305,2015-11-02,0.0,1,0
306,2015-11-03,0.0,1,0
307,2015-11-04,0.17412201257861634,0,1
308,2015-11-05,0.2023,0,1
309,2015-11-06,0.2263,0,1
310,2015-11-07,0.0,0,1
311,2015-11-08,0.11691636363636362,0,1
312,2015-11-09,0.0,0,1
313,2015-11-10,0.14364758064516128,0,1
314,2015-11-11,-0.009176636363636366,0,1
315,2015-11-12,0.0,0,1
316,2015-11-13,0.0,0,1
317,2015-11-14,0.0,0,1
318,2015-11-15,0.0,0,1
319,2015-11-16,0.0,1,0
320,2015-11-17,0.0258,0,1
321,2015-11-18,0.06387368421052632,1,0
322,2015-11-19,0.0,1,0
323,2015-11-20,0.18568617021276596,1,0
324,2015-11-21,0.0,1,0
325,2015-11-22,0.0,1,0
326,2015-11-23,0.0,0,1
327,2015-11-24,0.9274,1,0
328,2015-11-25,0.4019,0,1
329,2015-11-26,0.0,0,1
330,2015-11-27,-0.4391,0,1
331,2015-11-28,0.0,0,1
